id_entidad,entidad,n_personas,masa_salarial_mensual_pen,sueldo_promedio_pen
13102,Programa Nacional para la Prevención y Erradicación de la Violencia contra las Mujeres e Integrantes (Warmi Ñan),5523,23534531.09,4261.19
131,Ministerio de Justicia y Derechos Humanos (MINJUS),3952,23492723.44,5944.52
49951,PROGRAMA NACIONAL DE BIENES INCAUTADOS (PRONABI),3952,23492723.44,5944.52
133,Ministerio de Educación (MINEDU),3724,22770286.43,6114.47
134,Ministerio de Economía y Finanzas (MEF),2358,21980406.9,9321.63
10044,Ministerio Público Fiscalía de la Nación (MPFN),6000,21608142.27,3601.36
13840,Direccion Regional de Educación del Callao (DREC),4831,19309018.61,3996.9
107,Seguro Social de Salud (ESSALUD),4221,18337070.7,4344.25
10211,Corte Superior de Justicia de Huancavelica (D.J. Huancavelica),3865,14756112.0,3817.88
21863,Corte Superior de Justicia de Puente Piedra - Ventanilla (CSJPPV),3865,14756112.0,3817.88
10197,Corte Superior de Justicia de Amazonas (CSJA),3865,14756112.0,3817.88
10207,Corte Superior de Justicia de Cañete (CSJC),3865,14756112.0,3817.88
13362,Corte Superior de Justicia de Pasco (D.J. PASCO),3865,14756112.0,3817.88
10241,Corte Superior de Justicia de Tumbes (CSJTU),3865,14756112.0,3817.88
10051,Poder Judicial (PJ),3865,14756112.0,3817.88
22863,Corte Superior de Justicia de la Selva Central (CSJSC),3865,14756112.0,3817.88
10221,Corte Superior de Justicia de Loreto (D.J. LORETO),3865,14756112.0,3817.88
105012,Corte Superior Nacional de Justicia Penal Especializada (CSNJPE),3865,14756112.0,3817.88
13363,Corte Superior de Justicia de Moquegua (CSJM),3865,14756112.0,3817.88
10233,Corte Superior de Justicia de Tacna (D.J. TACNA),3865,14756112.0,3817.88
16372,CORTE SUPERIOR DE JUSTICIA DE SULLANA (CSJSU),3865,14756112.0,3817.88
18741,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO (DIRIS LIMA CENTRO),1855,12587894.04,6785.93
13693,HOSPITAL NACIONAL HIPOLITO UNANUE (HNHU),2485,12267901.2,4936.78
13274,Programa Nacional Cuna Más (PNCM),2674,9310979.46,3482.04
