grupo_ocupacional,n,sueldo_promedio,masa_mensual
Sin Grupo Ocupacional,915781,629,575582028
Reforma Magisterial,330292,4505,1487898338
Policia Nacional del Peru,323858,3040,984566725
Tecnicos,235012,2769,650655008
Profesionales,157342,5306,834868435
Profesionales de la Salud,152474,5800,884411932
Auxiliares,122594,2274,278825139
Profesor contratado,117094,3132,366719489
Ejercito Peruano,106736,2543,271436191
Marina de Guerra del Peru,65489,2755,180397854
Docentes Universitarios,34125,5191,177134849
Funcionarios y Directivos,33327,5611,186989644
Profesorado,29072,1235,35902940
Fuerza Aerea del Peru,28994,3189,92455717
Auxiliar de Educación,25090,2982,74811614
Docente de Instituto de Educación Superior,10883,3946,42946574
Servidor Penitenciario,7130,3151,22470084
Magistrados Titulares,5062,15337,77636651
Fiscales Titulares,4504,17425,78483226
Fiscales Provisionales NC,4394,7465,32801533
Docente de Escuelas de Educación Superior,2869,5256,15078667
Servicio Civil de Carrera,2680,8264,22147794
Funcionarios con Informe SERVIR,1252,4338,5430906
Diplomaticos,1147,33950,38940186
Docente de Escuelas de Formación Artística,1084,3684,3993570
Guardaparques,799,3055,2441135
Palmas Magisteriales,507,1175,595640
Servidores de Actividades Complementarias,355,8258,2931608
Magistrados Supernumerarios,354,10481,3710414
Consejero Regional,340,4286,1457340
Miembro de Directorio,304,3101,942643
Funcionarios Publicos,280,24009,6722422
Directivos Públicos,244,18818,4591516
Obreros,216,1135,245146
Auxiliar de Educación Superior,189,1437,271620
Miembro de Tribunal,167,4498,751150
Gerente Publico,91,8951,814524
Magistrados Provisionales,40,28069,1122775
Magistrados,20,3008,60163
Escalafonados de Salud,15,1268,19013
Elenco Artístico,1,3958,3958
