fecha,entidad,cargo,nombre,norma,sumilla,fuente_url,captured_at
2026-09-06,,fiscales provinciales provisionales,,RESOLUCIÓN,Nombran fiscales provinciales provisionales del Distrito Fiscal de Ucayali,https://busquedas.elperuano.pe/dispositivo/NL/2551322-3,2026-09-06T01:35:07-0500
2026-09-06,,fiscal provincial provisional,,RESOLUCIÓN,Nombran fiscal provincial provisional del Distrito Fiscal de Lima Noroeste,https://busquedas.elperuano.pe/dispositivo/NL/2551322-4,2026-09-06T01:35:07-0500
2026-09-06,Superintendencia Nacional de Bienes Estatales,Director de Gestión,,RESOLUCIÓN,Designan Director de Gestión del Patrimonio Estatal de la Superintendencia Nacional de Bienes Estatales,https://busquedas.elperuano.pe/dispositivo/NL/2550938-1,2026-09-06T01:35:07-0500
2026-09-06,,Ejecutivo,,RESOLUCIÓN,Designan Ejecutivo de la Unidad de Recursos Humanos de la Oficina de Administración y Finanzas,https://busquedas.elperuano.pe/dispositivo/NL/2550942-1,2026-09-06T01:35:07-0500
2026-09-06,Autoridad Nacional de Infraestructura,Ejecutiva,,RESOLUCIÓN JEFATURAL,Designan Ejecutiva de la Unidad de Abastecimiento de la Oficina de Administración de la Autoridad Nacional de Infraestructura,https://busquedas.elperuano.pe/dispositivo/NL/2551436-1,2026-09-06T01:35:07-0500
2026-09-06,Ministerio de Salud,Director Ejecutivo,,RESOLUCIÓN MINISTERIAL,"Designan Director Ejecutivo de la Dirección de Inspección y Certificación de la Dirección General de Medicamentos, Insumos y Drogas del Ministerio de Salud",https://busquedas.elperuano.pe/dispositivo/NL/2551434-1,2026-09-06T01:35:07-0500
2026-09-06,Programa Nacional de Saneamiento Urbano,Coordinador,,RESOLUCIÓN DIRECTORAL,Designan Coordinador de la Subunidad de Contabilidad de la Unidad de Administración del Programa Nacional de Saneamiento Urbano,https://busquedas.elperuano.pe/dispositivo/NL/2551409-1,2026-09-06T01:35:07-0500
2026-09-06,Superintendencia Nacional Adjunta de Administración y Finanzas,Asesor III,,RESOLUCIÓN,Designan Asesor III de la Superintendencia Nacional Adjunta de Administración y Finanzas,https://busquedas.elperuano.pe/dispositivo/NL/2551406-1,2026-09-06T01:35:07-0500
2026-09-05,,fiscal adjunto provincial provisional,,RESOLUCIÓN,Nombran fiscal adjunto provincial provisional del Distrito Fiscal de Lima Centro,https://busquedas.elperuano.pe/dispositivo/NL/2551316-5,2026-09-06T01:35:07-0500
2026-09-05,,fiscal adjunto provincial provisional,,RESOLUCIÓN,Nombran fiscal adjunto provincial provisional del Distrito Fiscal Del Santa,https://busquedas.elperuano.pe/dispositivo/NL/2551316-3,2026-09-06T01:35:07-0500
2026-09-05,,fiscal adjunta provincial provisional,,RESOLUCIÓN,Nombran fiscal adjunta provincial provisional del Distrito Fiscal de Huánuco,https://busquedas.elperuano.pe/dispositivo/NL/2551316-4,2026-09-06T01:35:07-0500
2026-09-05,Consejo Directivo del Instituto Nacional de Defensa de la Competencia y de la Protección d,miembro,,RESOLUCIÓN SUPREMA,"Designan miembro del Consejo Directivo del Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual - INDECOPI, en representación de la Presidencia del Consejo de Ministros",https://busquedas.elperuano.pe/dispositivo/NL/2551403-4,2026-09-06T01:35:07-0500
2026-09-05,,Jefa,,RESOLUCIÓN MINISTERIAL,Designan Jefa de la Oficina de Bienestar Social y Relaciones Laborales de la Oficina General de Recursos Humanos,https://busquedas.elperuano.pe/dispositivo/NL/2550895-1,2026-09-06T01:35:07-0500
2026-09-05,,Jefa,,RESOLUCIÓN MINISTERIAL,Designan Jefa de la Oficina de Organización y Modernización,https://busquedas.elperuano.pe/dispositivo/NL/2551350-1,2026-09-06T01:35:07-0500
2026-09-05,,Jefe,,RESOLUCIÓN MINISTERIAL,"Designan Jefe de la Oficina de Presupuesto, de la Oficina General de Planeamiento, Presupuesto y Modernización",https://busquedas.elperuano.pe/dispositivo/NL/2551191-1,2026-09-06T01:35:07-0500
2026-09-05,,Embajador Extraordinario y Plenipotenciario,,RESOLUCIÓN SUPREMA,Nombran Embajador Extraordinario y Plenipotenciario del Perú en el Reino de Tailandia,https://busquedas.elperuano.pe/dispositivo/NL/2551405-7,2026-09-06T01:35:07-0500
2026-09-05,,Representante Permanente,,RESOLUCIÓN SUPREMA,"Nombran Representante Permanente del Perú ante la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO), con sede en París, República Francesa",https://busquedas.elperuano.pe/dispositivo/NL/2551405-12,2026-09-06T01:35:07-0500
2026-09-05,Programa Mundial de Alimentos (PMA) y ante el Fondo Internacional de Desarrollo Agrícola (,Representante Permanente,,RESOLUCIÓN SUPREMA,"Nombran Representante Permanente del Perú ante la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO), ante el Programa Mundial de Alimentos (PMA) y ante el Fondo Internacional de Desarrollo Agrícola (FIDA), con ",https://busquedas.elperuano.pe/dispositivo/NL/2551405-11,2026-09-06T01:35:07-0500
2026-09-05,Organismos Internacionales con sede en Ginebra,Representante Permanente,,RESOLUCIÓN SUPREMA,"Nombran Representante Permanente del Perú ante los Organismos Internacionales con sede en Ginebra, Confederación Suiza",https://busquedas.elperuano.pe/dispositivo/NL/2551405-10,2026-09-06T01:35:07-0500
2026-09-05,,Embajador Extraordinario y Plenipotenciario,,RESOLUCIÓN SUPREMA,Nombran Embajador Extraordinario y Plenipotenciario del Perú en la República Argentina,https://busquedas.elperuano.pe/dispositivo/NL/2551405-6,2026-09-06T01:35:07-0500
2026-09-05,,Representante Permanente,,RESOLUCIÓN SUPREMA,"Nombran Representante Permanente del Perú ante la Organización de las Naciones Unidas, con sede en Nueva York",https://busquedas.elperuano.pe/dispositivo/NL/2551405-8,2026-09-06T01:35:07-0500
2026-09-05,,Representante Permanente,,RESOLUCIÓN SUPREMA,Nombran Representante Permanente del Perú ante la Organización de los Estados Americanos con sede en Washington D.C.,https://busquedas.elperuano.pe/dispositivo/NL/2551405-9,2026-09-06T01:35:07-0500
2026-09-05,Instituto Nacional de Salud del Niño – San Borja,Directora Adjunta,,RESOLUCIÓN MINISTERIAL,Designan Directora Adjunta de la Dirección General del Instituto Nacional de Salud del Niño – San Borja,https://busquedas.elperuano.pe/dispositivo/NL/2551215-1,2026-09-06T01:35:07-0500
2026-09-05,,Directora Ejecutiva,,RESOLUCIÓN MINISTERIAL,Designan Directora Ejecutiva de la Dirección de Salud Bucal,https://busquedas.elperuano.pe/dispositivo/NL/2551214-1,2026-09-06T01:35:07-0500
2026-09-05,,Director General,,RESOLUCIÓN MINISTERIAL,Designan Director General de la Oficina General de Gestión Descentralizada,https://busquedas.elperuano.pe/dispositivo/NL/2551307-1,2026-09-06T01:35:07-0500
2026-09-05,,Jefe de Tecnologías,,RESOLUCIÓN MINISTERIAL,Designan Jefe de Tecnologías de la Información y Comunicaciones,https://busquedas.elperuano.pe/dispositivo/NL/2550971-1,2026-09-06T01:35:07-0500
2026-09-05,Superintendencia de Transporte Terrestre de Personas,Superintendente,,RESOLUCIÓN SUPREMA,"Encargan el cargo de Superintendente de la Superintendencia de Transporte Terrestre de Personas, Carga y Mercancías - SUTRAN",https://busquedas.elperuano.pe/dispositivo/NL/2551403-6,2026-09-06T01:35:07-0500
2026-09-05,,Directora General,,RESOLUCIÓN MINISTERIAL,"Designan Directora General de la Dirección General de Niñas, Niños y Adolescentes",https://busquedas.elperuano.pe/dispositivo/NL/2551372-1,2026-09-06T01:35:07-0500
2026-09-05,,Asesora II,,RESOLUCIÓN MINISTERIAL,Designan Asesora II del Despacho Viceministerial de Poblaciones Vulnerables,https://busquedas.elperuano.pe/dispositivo/NL/2551382-1,2026-09-06T01:35:07-0500
2026-09-05,,Director II,,RESOLUCIÓN MINISTERIAL,"Designan Director II de la Dirección de Políticas de Niñas, Niños y Adolescentes",https://busquedas.elperuano.pe/dispositivo/NL/2551384-1,2026-09-06T01:35:07-0500
2026-09-05,,Directora II,,RESOLUCIÓN MINISTERIAL,"Designan Directora II de la Dirección de Sistemas Locales y Defensorías de la Dirección General de Niñas, Niños y Adolescentes",https://busquedas.elperuano.pe/dispositivo/NL/2551375-1,2026-09-06T01:35:07-0500
2026-09-05,Instituto del Mar del Perú – IMARPE,Director General de Investigaciones de Recursos Pelágicos,,RESOLUCIÓN,Designan Director General de Investigaciones de Recursos Pelágicos del Instituto del Mar del Perú – IMARPE,https://busquedas.elperuano.pe/dispositivo/NL/2550657-1,2026-09-06T01:35:07-0500
2026-09-05,Servicio Nacional de Meteorología e Hidrología del Perú - SENAMHI,director,,RESOLUCIÓN,Designan director de la Oficina de Administración del Servicio Nacional de Meteorología e Hidrología del Perú - SENAMHI,https://busquedas.elperuano.pe/dispositivo/NL/2551392-1,2026-09-06T01:35:07-0500
2026-09-05,Programa Nacional Cuna Más,Coordinadora Técnica,,RESOLUCIÓN,Designan Coordinadora Técnica de la Dirección Ejecutiva del Programa Nacional Cuna Más,https://busquedas.elperuano.pe/dispositivo/NL/2551315-1,2026-09-06T01:35:07-0500
2026-09-05,,Ejecutivo,,RESOLUCIÓN,Designan Ejecutivo de la Jefatura Zonal Apurímac de la SUCAMEC,https://busquedas.elperuano.pe/dispositivo/NL/2551160-1,2026-09-06T01:35:07-0500
