id_entidad,entidad,categoria,regimen,n,mediana,p25,p75,maximo,masa_mensual
10044,Ministerio Público Fiscalía de la Nación (MPFN),Justicia/Fiscalía,CAS,5987,3564,2864.19,3564.19,18787,21608142
13102,Programa Nacional para la Prevención y Erradicación de la Violencia contra las Mujeres e Integrantes (Warmi Ñan),Organismo público,CAS,5491,4364,3364.19,4364.19,22317,23534531
13840,Direccion Regional de Educación del Callao (DREC),Educación,Ley Servir,4760,3501,3500.7,4290.78,10762,19082610
107,Seguro Social de Salud (ESSALUD),Salud,CAS,4221,3925,2810.75,5222.96,17435,18337071
131,Ministerio de Justicia y Derechos Humanos (MINJUS),Justicia/Fiscalía,CAS,3906,5364,5193.1,7270.49,45847,22859070
10051,Poder Judicial (PJ),Justicia/Fiscalía,CAS,3848,3336,2364.19,4864.19,13756,14756112
133,Ministerio de Educación (MINEDU),Educación,CAS,3323,5864,4864.19,8364.19,18720,22127326
13274,Programa Nacional Cuna Más (PNCM),Organismo público,CAS,2625,3264,2864.19,3264.19,15600,9310979
18791,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE (DIRIS L.N.),Salud,CAS,2624,2964,2053.56,3703.95,14264,8096702
10050,Municipalidad Distrital de Ate (MuniAte),Municipalidad,CAS,2292,1764,1564.19,1964.19,6600,4390965
10080,Municipalidad Distrital de San Isidro Lima (MDSI),Municipalidad,CAS,2173,2164,1914.19,3164.19,18000,6615858
91,Servicio Nacional de Sanidad Agraria del Perú (SENASA),Salud,CAS,2121,2633,2467.65,3567.65,9364,6560221
109,Programa Integral Nacional para el Bienestar Familiar (INABIF),Organismo público,CAS,2007,2264,1764.19,3264.19,15264,5686650
1434,Municipalidad Metropolitana de Lima (MUNLIMA),Municipalidad,CAS,2007,2070,1864.19,2400.0,12364,4825504
10069,Municipalidad Distrital de Miraflores - LIMA (MDMiraflores),Municipalidad,CAS,1913,2050,1884.19,2300.0,20020,5251950
14069,"Superintendencia de Transporte Terrestre de Personas, Carga y Mercancias (SUTRAN)",Regulador/Superintendencia,CAS,1890,3364,2864.19,4864.19,15600,7734754
13117,Programa Nacional de Apoyo Directo a los más Pobres - JUNTOS (JUNTOS),Organismo público,CAS,1878,2364,2363.21,3364.19,21768,5881378
18741,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO (DIRIS LIMA CENTRO),Salud,CAS,1855,6146,3964.19,7450.53,31200,12587894
77,Ministerio de Cultura (CULTURA),Ministerio,CAS,1719,4049,2516.35,5792.4,15600,7810098
10042,Municipalidad Distrital de Santiago de Surco (MSS),Municipalidad,CAS,1717,2350,2114.19,2854.19,15600,4731858
13847,Gerencia Regional de Salud de Lambayeque (GERESA-LAMBAYEQUE),Salud,CAS,1709,2304,2064.19,3164.19,12764,4914699
12678,Superintendencia Nacional de Migraciones (MIGRACIONES),Regulador/Superintendencia,CAS,1704,3364,3343.4,4257.51,15600,7010549
13693,HOSPITAL NACIONAL HIPOLITO UNANUE (HNHU),Salud,Ley Servir,1667,5819,3393.04,7819.8,25208,9584621
14219,Programa Nacional de Alimentación Escolar Comunitaria Wasi Mikuna (PNAEC - WASI MIKUNA),Organismo público,CAS,1665,3764,3064.19,4632.6,28232,7323373
142,Ministerio de la Mujer y Poblaciones Vulnerables (MIMP),Ministerio,CAS,1620,4364,3364.19,5364.19,19673,7983914
10081,Municipalidad Distrital de San Juan de Lurigancho (MDSJL),Municipalidad,CAS,1515,2200,1814.19,2300.0,15000,3442038
13761,Dirección Regional de Salud del Callao (DIRESA - CALLAO),Salud,CAS,1502,2164,2024.56,3264.19,17722,4359535
10078,Municipalidad Distrital de San Borja (MDSanBorja),Municipalidad,CAS,1413,2000,1860.0,2400.0,15600,3678797
18765,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR (HEVES),Salud,CAS,1394,3264,2164.19,3964.19,24122,5518856
10089,Municipalidad Distrital de San Martín de Porres (MDSMP),Municipalidad,CAS,1376,1900,1689.19,2100.0,12700,2935837
14117,Red de Salud Trujillo (UTES 6 TE),Salud,CAS,1320,2964,1864.19,2964.19,9064,3852261
82,Oficina de Normalización Previsional (ONP),Organismo público,Ley Servir,1283,5898,3219.5,8083.78,28000,7624963
134,Ministerio de Economía y Finanzas (MEF),Ministerio,CAS,1256,7250,5364.19,9250.0,15600,9057358
13705,Autoridad Nacional del Agua (ANA),Organismo público,CAS,1250,4864,3345.83,6731.2,15876,6387716
10023,Instituto Nacional de Enfermedades Neoplásicas (INEN),Salud,CAS,1225,2900,1800.0,4900.0,15550,4482750
10428,Universidad Nacional Mayor de San Marcos (UNMSM),Universidad,CAS,1217,1564,1389.19,1864.19,8364,2105206
18830,Autoridad de Transporte Urbano para Lima y Callao (ATU),Organismo público,CAS,1217,2364,2364.19,6864.19,16901,5670654
143,Ministerio de Salud (MINSA),Salud,CAS,1148,5817,3364.19,8364.19,31787,7589102
114029,Programa de Alimentación Escolar (PAE),Organismo público,CAS,1147,2864,2864.19,3864.19,15876,4332577
22,Registro Nacional de Identificación y Estado Civil (RENIEC),Organismo constitucional,CAS,1114,2939,2364.19,3960.0,18000,3745134
14274,SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL (SUNAFIL),Justicia/Fiscalía,CAS,1072,4264,3264.19,6764.19,14264,5369970
13834,HOSPITAL III REGIONAL HONORIO DELGADO (HRHD),Salud,CAS,1053,3164,2064.19,3164.19,16896,3484779
10942,Municipalidad Distrital de Ventanilla (MDV),Municipalidad,CAS,973,1600,1464.19,2164.19,14200,2438238
25878,Procuraduría General del Estado (PGE),Organismo público,CAS,940,7288,4864.19,8364.19,30203,6620609
13147,Hospital Cayetano Heredia (HCH - MINSA),Salud,CAS,938,2842,2106.85,3864.19,21233,3279882
