entidad_norm,id_entidad_pt,entidad_pt,regimen,periodo_pt,n_personas_pt,ingreso_mediana_pt,ingreso_p25_pt,ingreso_p75_pt,masa_mensual_pt,n_convocatorias_cas,salario_oferta_mediana_cas,gap_oferta_vs_ejecutado,fuente_pt_url
PROGRAMA NACIONAL PARA LA PREVENCION Y ERRADICACION DE LA VIOLENCIA CONTRA LAS MUJERES E INTEGRANTES (WARMI NAN),13102,Programa Nacional para la Prevención y Erradicación de la Violencia contra las Mujeres e Integrantes (Warmi Ñan),CAS,2026-04,5491,4364.19,3364.19,4364.19,23534531.09,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13102&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=185
MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS (MINJUS),131,Ministerio de Justicia y Derechos Humanos (MINJUS),CAS,2026-03,3906,5364.19,5193.1,7264.54,22859070.12,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=131&in_anno_consulta=2026&ch_mes_consulta=03&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=131
PROGRAMA NACIONAL DE BIENES INCAUTADOS (PRONABI),49951,PROGRAMA NACIONAL DE BIENES INCAUTADOS (PRONABI),CAS,2026-03,3906,5364.19,5193.1,7264.54,22859070.12,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=49951&in_anno_consulta=2026&ch_mes_consulta=03&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=131
MINISTERIO DE EDUCACION (MINEDU),133,Ministerio de Educación (MINEDU),CAS,2026-04,3323,5864.19,4864.19,8364.19,22127326.42,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=133&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=124
MINISTERIO PUBLICO FISCALIA DE LA NACION (MPFN),10044,Ministerio Público Fiscalía de la Nación (MPFN),CAS,2026-05,5987,3564.19,2864.19,3564.19,21608142.27,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10044&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=200
SEGURO SOCIAL DE SALUD (ESSALUD),107,Seguro Social de Salud (ESSALUD),CAS,2026-05,4221,3925.37,2810.75,5222.96,18337070.7,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=107&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=200
CORTE SUPERIOR DE JUSTICIA DE HUANCAVELICA (D.J. HUANCAVELICA),10211,Corte Superior de Justicia de Huancavelica (D.J. Huancavelica),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10211&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR DE JUSTICIA DE PUENTE PIEDRA - VENTANILLA (CSJPPV),21863,Corte Superior de Justicia de Puente Piedra - Ventanilla (CSJPPV),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=21863&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR DE JUSTICIA DE AMAZONAS (CSJA),10197,Corte Superior de Justicia de Amazonas (CSJA),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10197&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR DE JUSTICIA DE CANETE (CSJC),10207,Corte Superior de Justicia de Cañete (CSJC),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10207&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR DE JUSTICIA DE PASCO (D.J. PASCO),13362,Corte Superior de Justicia de Pasco (D.J. PASCO),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13362&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR DE JUSTICIA DE TUMBES (CSJTU),10241,Corte Superior de Justicia de Tumbes (CSJTU),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10241&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
PODER JUDICIAL (PJ),10051,Poder Judicial (PJ),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10051&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR DE JUSTICIA DE LA SELVA CENTRAL (CSJSC),22863,Corte Superior de Justicia de la Selva Central (CSJSC),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=22863&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR DE JUSTICIA DE LORETO (D.J. LORETO),10221,Corte Superior de Justicia de Loreto (D.J. LORETO),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10221&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR NACIONAL DE JUSTICIA PENAL ESPECIALIZADA (CSNJPE),105012,Corte Superior Nacional de Justicia Penal Especializada (CSNJPE),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=105012&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR DE JUSTICIA DE MOQUEGUA (CSJM),13363,Corte Superior de Justicia de Moquegua (CSJM),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13363&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR DE JUSTICIA DE TACNA (D.J. TACNA),10233,Corte Superior de Justicia de Tacna (D.J. TACNA),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10233&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
CORTE SUPERIOR DE JUSTICIA DE SULLANA (CSJSU),16372,CORTE SUPERIOR DE JUSTICIA DE SULLANA (CSJSU),CAS,2026-04,3848,3336.19,2364.19,4864.19,14756112.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=16372&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=129
DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO (DIRIS LIMA CENTRO),18741,DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO (DIRIS LIMA CENTRO),CAS,2026-04,1855,6146.06,3964.19,7450.53,12587894.04,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=18741&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=62
PROGRAMA NACIONAL CUNA MAS (PNCM),13274,Programa Nacional Cuna Más (PNCM),CAS,2026-04,2625,3264.19,2864.19,3264.19,9310979.46,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13274&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=90
MINISTERIO DE ECONOMIA Y FINANZAS (MEF),134,Ministerio de Economía y Finanzas (MEF),CAS,2026-04,1256,7250.0,5364.19,9250.0,9057357.7,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=134&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=43
